package_name,is_obsolete,version
com.rstudioz.habits,1,9.8.8
net.turnkeytrading.prometheus_mobile,1,2.0.3
com.handyman.smarthome,1,1.2.0
org.blheli.BLHeli_32,1,1.0.18
nl.rodger.app,1,1.7.1
com.satyam.mobile.roku.remotecontrol,1,7.0.0
com.osthoro.electricitywatchface,1,4.8.05
com.dinitech.nrgkick,1,2.2.4
com.conneqtech.sparta,1,3.4.8
com.osfunapps.remoteforindigital,1,9.2.1
reflex.smartcafe.basic.timer,1,1.03
com.polaroidtvirremote,1,1.6
com.stephenmilone.icongrid,1,1
com.findmy.devices.phone.watch.appela,1,2.0
com.app.walkhealth,1,1.94
com.iris.sensorybox.games.human,1,1.4.0
com.throne.project28.demo.nexus,1,4.7.0.3475-default
moveo.GoTo.malta,1,1.4.8
com.swissre.srdrive,1,2.38.2
blackbox.com.magikk,1,2.0
com.scooter.CvmGuazzoni,1,1.0.0
com.wyzedoorbellguide769.app,1,1
com.fitindia.fitapp,1,1.0
com.inelsosolar,1,1.0.0
com.fracttalmobile.app,1,3.00775
com.bullguard.mobile.mobilesecurity,1,14.0.9.396
com.genasys.gem.genericclient,1,7.0.0.0
com.elmeasure.elconfig,1,1.1.0
com.OctagonStudio.Wear4D,1,1.6.1
app.boomerang.nissansilvia,1,1.0.0
mx.vanmedin.liipoffline,1,1.0.2
dk.zispa.vibetasks,1,2.5.5
com.acvilas.eagle4g,1,3.5.0
com.orchid.securelock.android,1,1.1.2
com.myeglu.android.elcloud,1,1.9.633
com.honeywell.galaxyapp,1,4.5.0
th.in.sircom.insecospectreviewer,1,1.0
com.mobileiesapp,1,0.1.09
com.ir.irremote.irblaster.tvremote.universalremote,1,1.0
com.mylaps.eventapp.sporthivelive,1,4.6
de.sick.sds.ibman,1,1.3.0
com.codebrain.indoor_outdoor,1,1.0.0
com.FreeFurniture.FurnitureModMcpe.MapsAddon.Minecraft.ModFurniture,1,1.0
org.farmos.app,1,0.4.18
com.brighterenergy,1,1.1
com.tilon.elcloud,1,3.1.6.4
com.digme.app,1,1.1.7
com.weedle.universal_tv_box_remote,1,8.8.4
net.prezz.mpr,1,1.123.0
